Slice,Count,Total Area,Average Size,%Area,Mean
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_08-1.tif,1,569276,569276,72.671,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep4_24_hn_05-1.tif,1,520353,520353,66.426,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_01-1.tif,1,600887,600887,76.706,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep4_24_hn_04-1.tif,1,555064,555064,70.857,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_09-1.tif,1,586823,586823,74.911,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep1_24_hn_02-1.tif,1,543414,543414,69.370,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep2_24_hn_03-1.tif,1,554012,554012,70.723,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep1_24_hn_06-1.tif,1,591741,591741,75.539,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_05-1.tif,1,571218,571218,72.919,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep4_24_hn_01-1.tif,1,526367,526367,67.193,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_04-1.tif,1,585766,585766,74.776,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep3_24_hn_01-1.tif,1,513395,513395,65.538,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep2_24_hn_06-1.tif,1,581783,581783,74.268,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep1_24_hn_07-1.tif,1,529379,529379,67.578,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep1_24_hn_05-1.tif,1,522575,522575,66.709,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep2_24_hn_04-1.tif,1,538488,538488,68.741,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep3_24_hn_03-1.tif,1,541313,541313,69.101,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_06-1.tif,1,550797,550797,70.312,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep4_24_hn_03-1.tif,1,524719,524719,66.983,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep4_24_hn_02-1.tif,1,528456,528456,67.460,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_07-1.tif,1,538378,538378,68.727,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep3_24_hn_02-1.tif,1,558044,558044,71.237,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_08-1.tif,1,609522,609522,77.809,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep2_24_hn_05-1.tif,1,524773,524773,66.990,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep1_24_hn_04-1.tif,1,535581,535581,68.370,255
